,prcod,prccd,prchd,prcld,cshtrd,tic,ajexdi,datadate
2019-04-11,47.9,46.82388888888889,48.25,46.55,5397347.181818182,ATVI,1.0,20190411
2019-04-12,46.82205555555556,47.19853225806452,47.75,46.82205555555556,4118058.5309139783,ATVI,1.0,20190412
2019-04-15,47.18,46.0635255354201,47.84,45.6,7448747.368591787,ATVI,1.0,20190415
2019-04-16,46.064200988467874,44.854833091436866,46.3,44.74,10197955.127344746,ATVI,1.0,20190416
2019-04-17,44.81921625544267,45.41849056603774,45.76,43.96,11785613.738050153,ATVI,1.0,20190417
2019-04-18,45.41974842767296,45.22216636744464,45.6,44.55,5630282.042400353,ATVI,1.0,20190418
2019-04-19,45.22217035707161,45.23940155595452,45.23940155595452,45.22217035707161,483182.47755834815,ATVI,1.0,20190419
2019-04-22,45.23940554558149,45.525570032573285,45.69,44.7,4766072.053902849,ATVI,1.0,20190422
2019-04-23,45.52589576547231,46.610672268907564,46.76,45.33,6714326.131826021,ATVI,1.0,20190423
2019-04-24,46.61084033613446,46.36,46.9,46.04,5723175.5655731,ATVI,1.0,20190424
2019-04-25,46.36,47.3375,47.46,46.135,7710556.334671998,ATVI,1.0,20190425
2019-04-26,47.33625,48.47857142857143,48.51,47.11,8627189.629166666,ATVI,1.0,20190426
2019-04-29,48.47333333333333,48.47665260196906,48.98,48.2,7512976.689873418,ATVI,1.0,20190429
2019-04-30,48.47679324894515,48.265700934579435,48.67,47.7601,7844473.861528451,ATVI,1.0,20190430
2019-05-01,48.26654205607476,48.888408736349454,49.57,48.162,9537210.587443683,ATVI,1.0,20190501
2019-05-02,48.88842433697348,46.901428571428575,50.48,46.21,14125261.57544016,ATVI,1.0,20190502
2019-05-03,46.861785714285716,46.0,48.67,46.0,26176314.285714284,ATVI,1.0,20190503
2019-05-06,46.01625,47.964,48.2,44.95,11406067.74,ATVI,1.0,20190506
2019-05-07,47.963,46.987533632287,48.03,46.35,28111690.726367727,ATVI,1.0,20190507
2019-05-08,46.986816143497755,46.33819216182048,47.48,46.33819216182048,92628422.78266707,ATVI,1.0,20190508
2019-05-09,46.337370417193426,46.718167539267014,47.24,45.7,10588473.874001896,ATVI,1.0,20190509
2019-05-10,47.007696335078535,45.331803187028235,47.2862,43.52,6225548.2255795095,ATVI,1.0,20190510
2019-05-13,45.33160190103438,43.5,45.48,42.79,10042053.151383841,ATVI,1.0,20190513
2019-05-14,43.506129032258066,44.74375172413794,45.1764,43.38,59682663.14062499,ATVI,1.0,20190514
2019-05-15,44.73506206896552,46.21,46.52,44.14,27035228.579001166,ATVI,1.0,20190515
2019-05-16,46.21,47.129017094017094,47.5,45.82,6822583.062425114,ATVI,1.0,20190516
2019-05-17,47.12700854700854,46.0,47.37,46.0,4868479.717948718,ATVI,1.0,20190517
2019-05-20,46.0,43.82,46.0,43.33,10192798.899999999,ATVI,1.0,20190520
2019-05-21,43.821666666666665,43.03953974895398,44.08,43.03953974895398,8943847.219246862,ATVI,1.0,20190521
2019-05-22,43.42259414225941,42.38181818181818,43.65,42.377878787878785,7674948.289844046,ATVI,1.0,20190522
2019-05-23,42.38318181818182,42.48219130434783,42.79,41.95,8035233.503083003,ATVI,1.0,20190523
2019-05-24,42.48274782608696,42.9150701320132,42.9150701320132,41.84,6006051.082256781,ATVI,1.0,20190524
2019-05-27,42.915319719471945,43.19,43.55,42.915319719471945,587368.755569307,ATVI,1.0,20190527
2019-05-28,43.19,43.37866666666667,44.83,43.19,13047943.25,ATVI,1.0,20190528
2019-05-29,43.37444444444444,43.8288990825688,46.9741,42.8316,9976059.555045873,ATVI,1.0,20190529
2019-05-30,43.83082568807339,42.90257142857143,44.48,42.89,6266960.230668414,ATVI,1.0,20190530
2019-05-31,42.90571428571429,42.81687898089172,43.78,42.5288,6934936.061419472,ATVI,1.0,20190531
2019-06-03,43.06388535031847,42.621428571428574,43.4,42.01,8938705.581437672,ATVI,1.0,20190603
2019-06-04,42.62128279883382,43.81,44.0,42.1,7873357.071428571,ATVI,1.0,20190604
2019-06-05,43.80030303030303,44.55565656565656,44.69,43.49,6239728.575757576,ATVI,1.0,20190605
2019-06-06,44.55661616161616,44.304849726775956,44.74,43.67,59948558.9684414,ATVI,1.0,20190606
2019-06-07,44.304781420765025,45.55,45.63,44.055,7720601.455801103,ATVI,1.0,20190607
2019-06-10,45.55,46.10948453608247,46.47,45.1,6777061.386597938,ATVI,1.0,20190610
2019-06-11,46.26910162002945,46.4712389380531,47.06,42.98,6888998.706322416,ATVI,1.0,20190611
2019-06-12,46.45938053097345,46.54712255772647,46.58,44.86,6455128.356457977,ATVI,1.0,20190612
2019-06-13,46.54964476021315,46.624155844155844,46.624155844155844,45.08,6529968.514907384,ATVI,1.0,20190613
2019-06-14,46.625811688311686,45.596428571428575,46.75,45.12,5623640.535714285,ATVI,1.0,20190614
2019-06-17,45.58571428571429,45.060309278350516,45.95,44.86,8470984.11597938,ATVI,1.0,20190617
2019-06-18,45.04783505154639,45.8690306122449,46.48,45.0,7655523.009020619,ATVI,1.0,20190618
2019-06-19,45.869375,45.923095238095236,46.33,44.581,5795455.553571429,ATVI,1.0,20190619
2019-06-20,45.92642857142857,45.598885793871865,46.33,45.3,5160588.321428571,ATVI,1.0,20190620
2019-06-21,45.59940111420613,45.826574492099326,46.07,45.19,9258585.183972912,ATVI,1.0,20190621
2019-06-24,45.82668453724605,47.126363636363635,47.21,45.35,7834553.5887543615,ATVI,1.0,20190624
2019-06-25,47.13121212121212,46.348279569892476,47.49,45.66,9733316.340175953,ATVI,1.0,20190625
2019-06-26,46.3386559139785,46.94046728971963,47.47,46.2,5715768.606722943,ATVI,1.0,20190626
2019-06-27,46.94168224299065,47.48,47.57,46.52,7527788.69953551,ATVI,1.0,20190627
2019-06-28,47.48,47.99648148148148,48.0,46.56,16315298.525282767,ATVI,1.0,20190628
